Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
Huawei Mate 30 Pro 5G,Android 10; EMUI 10,HiSilicon Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,"128GB 8GB RAM, 256GB 8GB RAM",Non-removable Li-Po 4500 mAh battery
Huawei Mate 30 Pro,Android 10; EMUI 10,HiSilicon Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,"128GB 8GB RAM, 256GB 8GB RAM",Non-removable Li-Po 4500 mAh battery
Huawei Mate 30 5G,Android 10; EMUI 10,HiSilicon Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Non-removable Li-Po 4200 mAh battery
Huawei Mate 30,Android 10; EMUI 10,HiSilicon Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,"128GB 6GB RAM, 128GB 8GB RAM",Non-removable Li-Po 4200 mAh battery
Nokia 7.2,Android 9.0 (Pie); Android One,Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),Adreno 512,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Non-removable Li-Po 3500 mAh battery
Nokia 6.2,Android 9.0 (Pie); Android One,Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,Adreno 509,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Non-removable Li-Po 3500 mAh battery
Nokia 800 Tough,KaiOS,Qualcomm MSM8905 Snapdragon 205 (28 nm),Dual-core (2x1.1 GHz Cortex-A7),Adreno 304,4GB 512MB,Non-removable Li-Ion 2100 mAh battery
Nokia 2720 Flip,KaiOS,Qualcomm MSM8905 Snapdragon 205 (28 nm),Dual-core (2x1.1 GHz Cortex-A7),Adreno 304,4GB 512MB,Removable Li-Ion 1500 mAh battery (BL-6V)
Nokia 220 4G,24MB 16MB RAM,Removable Li-Ion 1200 mAh battery,,,,
Sony Xperia 5,Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,128GB 6GB RAM,Non-removable Li-Ion 3140 mAh battery
Sony Xperia 1,Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"64GB 6GB RAM, 128GB 6GB RAM",Non-removable Li-Ion 3330 mAh battery
Sony Xperia 10 Plus,Android 9.0 (Pie),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,Adreno 509,"64GB 4GB RAM, 64GB 6GB RAM",Non-removable Li-Ion 3000 mAh battery
Sony Xperia 10,Android 9.0 (Pie),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,"64GB 3GB RAM, 64GB 4GB RAM",Non-removable Li-Ion 2870 mAh battery
Sony Xperia L3,Android 8.0 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,32GB 3GB RAM,Non-removable Li-Ion 3300 mAh battery
LG V50S ThinQ 5G,Android 10,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,128GB 6GB RAM,Non-removable Li-Po 4000 mAh battery
LG G8X ThinQ,Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,128GB 6GB RAM,Non-removable Li-Po 4000 mAh battery
LG Q70,Android 9.0 (Pie); LG UX 7,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,64GB 4GB RAM,Non-removable Li-Po 4000 mAh battery
LG K30 (2019),Android 9.0 (Pie),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,16GB 2GB RAM,Non-removable Li-Ion 3000 mAh battery
LG K20 (2019),Android 9.0 Pie (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,16GB 1GB RAM,Non-removable Li-Ion 3000 mAh battery
HTC Wildfire X,Android 9 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"32GB 3GB RAM, 128GB 4GB RAM",Non-removable Li-Po 3300 mAh battery
HTC U19e,Android 9.0 (Pie); HTC Sense,Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128GB 6GB RAM,Non-removable Li-Ion 3930 mAh battery
HTC Desire 19+,Android 9 (Pie),Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,"64GB 4GB RAM, 128GB 6GB RAM",Non-removable Li-Ion 3850 mAh battery
HTC Desire 12s,Android 8.1 (Oreo),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,"32GB 3GB RAM, 64GB 4GB RAM",Non-removable Li-Ion 3075 mAh battery
HTC Exodus 1,Android 8.1 (Oreo),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,128GB 6GB RAM,Non-removable Li-Ion 3500 mAh battery
Motorola One Macro,Android 9.0 (Pie),Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,64GB 4GB RAM,Non-removable Li-Po 4000 mAh battery
Motorola Moto E6 Plus,Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"32GB 2GB RAM, 64GB 4GB RAM",Removable Li-Po 3000 mAh battery
Motorola One Zoom,Android 9.0 (Pie),Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,128GB 4GB RAM,Non-removable Li-Po 4000 mAh battery
Motorola One Action,Android 9.0 (Pie); Android One,Exynos 9609,Octa-core (4x2.2 GHz Cortex-A73 & 4x1.6 GHz Cortex-A53),Mali-G72 MP3,128GB 4GB RAM,Non-removable Li-Po 3500 mAh battery
Motorola Moto E6,Android 9.0 (Pie),Qualcomm SDM435 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,16GB 2GB RAM,Removable Li-Ion 3000 mAh battery
Lenovo K10 Plus,Android 9.0 (Pie); ZUI 11,Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,64GB 4GB RAM,Non-removable Li-Po 4050 mAh battery
Lenovo K10 Note,Android 9.0 (Pie); ZUI 11,Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,"64GB 4GB RAM, 128GB 6GB RAM",Non-removable Li-Po 4050 mAh battery
Lenovo A6 Note,Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,"16GB 2GB RAM, 32GB 3GB RAM",Non-removable Li-Po 4000 mAh battery
Lenovo Tab M8 (FHD),Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,"16GB 2GB RAM, 32GB 3GB RAM",Non-removable Li-Po 5000 mAh battery
Lenovo Tab M8 (HD),Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,"16GB 2GB RAM, 32GB 3GB RAM",Non-removable Li-Po 5000 mAh battery
Xiaomi Redmi 8,Android 9.0 (Pie); MIUI 9,Qualcomm SDM439 Snapdragon 439 (12 nm),Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),Adreno 505,"32GB 3GB RAM, 64GB 4GB RAM",Non-removable Li-Po 5000 mAh battery
Xiaomi Redmi 8A,Android 9.0 (Pie); MIUI 10,Qualcomm SDM439 Snapdragon 439 (12 nm),Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),Adreno 505,"32GB 2GB RAM, 32GB 3GB RAM",Non-removable Li-Po 5000 mAh battery
Xiaomi Mi Mix Alpha,Android 10; MIUI 11,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),512GB 12GB RAM,Non-removable Li-Po 4050 mAh battery
