Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
Realme XT 730G,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6",Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,"64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",Non-removable Li-Po 4000 mAh battery
Realme XT,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6",Qualcomm SDM712 Snapdragon 712 (10 nm),Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",Non-removable Li-Po 4000 mAh battery
Realme Q,Android 9.0 (Pie); ColorOS 6,Qualcomm SDM712 Snapdragon 712 (10 nm),Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",Non-removable Li-Po 4035 mAh battery
OnePlus 7T Pro,Android 10.0; OxygenOS 10.0,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),"256GB 8GB RAM, 256GB 12GB RAM",Non-removable Li-Po 4085 mAh battery
OnePlus 7T,Android 10.0; OxygenOS 10.0.3,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),"128GB 8GB RAM, 256GB 8GB RAM",Non-removable Li-Po 3800 mAh battery
OnePlus 7 Pro 5G,Android 9.0 (Pie); OxygenOS 9.5.11,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Non-removable Li-Po 4000 mAh battery
OnePlus 7 Pro,Android 9.0 (Pie); OxygenOS 9.5.11,Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Non-removable Li-Po 4000 mAh battery
OnePlus 7,"Android 9.0 (Pie), upgradable to Android 10.0; OxygenOS 10.0",Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,"128GB 6GB RAM, 256GB 8GB RAM",Non-removable Li-Po 3700 mAh battery
vivo U10,Android 9.0 (Pie); Funtouch 9.1,Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",Non-removable Li-Po 5000 mAh battery
vivo NEX 3 5G,Android 9.0 (Pie); Funtouch 9.1,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),"256GB 8GB RAM, 256GB 12GB RAM",Non-removable Li-Po 4500 mAh battery
vivo V17 Pro,Android 9.0 (Pie); Funtouch 9.1,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,128GB 8GB RAM,Non-removable Li-Po 4100 mAh battery
vivo NEX 3,Android 9.0 (Pie); Funtouch 9.1,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),128GB 8GB RAM,Non-removable Li-Po 4500 mAh battery
vivo Z1x,Android 9.0 (Pie); Funtouch 9.1,Qualcomm SDM712 Snapdragon 712 (10 nm),Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,"64GB 6GB RAM, 128GB 6GB RAM",Non-removable Li-Po 4500 mAh battery
Meizu 16s Pro,Android 9.0 (Pie); Flyme 8,Qualcomm SDM855 Snapdragon 855+ (7 nm),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Non-removable Li-Po 3600 mAh battery
